,Annual_salary,Age,Experience_years,Sex_F,Sex_M,Race_AMIND,Race_ASIAN,Race_BLACK,Race_HISPA,Race_WHITE,"Job_title_Captain, Public Safety",Job_title_Corporal,Job_title_Director IV,Job_title_Director VI,Job_title_Director VII,"Job_title_Lieutenant, Public Safety","Job_title_Major, Public Safety",Job_title_Probationary Trooper,"Job_title_Sergeant, Public Safety",Job_title_Trooper
193,64918.92,31,6.970711239792741,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
194,79323.0,48,25.862269588013444,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
195,79323.0,47,23.96490003217041,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
196,64918.92,33,3.808428646721014,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
197,69540.96,33,13.946898293599459,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
198,53241.96,46,4.553139352621888,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
199,79323.0,52,26.073088427551557,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
200,84390.96,50,20.287890921784843,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
201,64918.92,30,8.936528470810488,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
202,53241.96,26,5.974113089248924,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
203,72612.96,46,15.937356687680102,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
204,44082.0,33,2.9843186376174735,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
205,64918.92,38,9.37733149893564,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
206,64918.92,30,8.443705209552558,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
207,72612.96,49,15.937356687680102,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
208,84390.96,44,18.98464718645831,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
